,count,mean,std,min,25%,50%,75%,max
share_low_efficiency_fg,263363.0,0.16081977182756413,0.30499566200397005,0.0,0.0,0.0,0.2,1.0
share_low_efficiency_efg,263363.0,0.35634803286790245,0.400571366023587,0.0,0.0,0.2,0.6666666666666666,1.0
avg_dpe_score,263363.0,4.169192243749673,1.1402220816841275,1.0,3.3333333333333335,4.0,5.0,7.0
poor_household_share,263363.0,0.12233800410906018,0.1011979472556137,0.0,0.05,0.1,0.17391304347826086,0.8
social_housing_share,263363.0,0.10366926755785293,0.2187327756414977,0.0,0.0,0.0,0.07142857142857142,1.0
old_housing_share_pre1945,263363.0,0.2694976003800212,0.2879234067433926,0.0,0.0,0.15789473684210525,0.48739495798319327,1.0
owner_household_share,263363.0,0.6490000109031724,0.2503329253456797,0.0,0.47368421052631576,0.6938775510204082,0.8571428571428571,1.0
house_share,263363.0,0.6911894643528878,0.3483464910468949,0.0,0.4067796610169492,0.8518518518518519,1.0,1.0
collective_housing_share,263363.0,0.30881053564711214,0.34834649104692766,0.0,0.0,0.14814814814814814,0.5932203389830508,1.0
avg_dwelling_surface,263363.0,91.55182655235981,20.39113517607008,13.126637554585153,77.21303885853067,91.5,104.45454545454545,276.0
log_avg_winsorized_living_standard,263363.0,10.067522685558332,0.20830974876986508,9.276409282169656,9.933057810726275,10.058811764284583,10.192222924631274,11.12238119763472
n_dpe_obs,263363.0,4.2818809020249615,9.474508044444152,1.0,1.0,2.0,4.0,966.0
